,abv,ibu,srm,style_new
616,0.057999999999999996,60.0,12.0,Red Ale
617,0.073,70.0,15.0,Strong Ale
619,0.066,75.0,10.0,IPA
621,0.068,90.0,10.0,IPA
623,0.05,10.0,8.0,Fruit / Vegetable Beer
626,0.054000000000000006,45.0,7.0,Pale Ale
627,0.048,32.0,12.0,Red Ale
628,0.055,42.0,7.0,Pale Ale
629,0.059000000000000004,27.0,3.0,Witbier
630,0.057999999999999996,58.0,7.0,Pale Ale
631,0.07,75.0,10.0,IPA
633,0.045,20.0,4.0,Blonde Ale
634,0.068,55.0,10.0,IPA
635,0.053,28.0,7.0,Pale Ale
637,0.048,15.0,11.0,Lager
638,0.07200000000000001,80.0,11.0,Lager
639,0.067,65.0,11.0,Lager
640,0.049,45.0,11.0,Lager
641,0.055,37.0,7.0,Pale Ale
643,0.05,50.0,7.0,Pale Ale
644,0.09300000000000001,90.0,10.0,IPA
645,0.052000000000000005,15.0,11.0,Lager
648,0.057999999999999996,25.0,11.0,Lager
649,0.055,40.0,7.0,Pale Ale
650,0.055,25.0,12.0,Märzen
653,0.095,85.0,10.0,IPA
654,0.049,45.0,15.0,Amber
656,0.066,70.0,10.0,IPA
657,0.057,19.0,11.0,Lager
658,0.06,64.0,10.0,IPA
660,0.05,15.0,4.0,Blonde Ale
662,0.065,65.0,10.0,IPA
663,0.065,65.0,10.0,IPA
664,0.055,50.0,7.0,Pale Ale
665,0.065,65.0,10.0,IPA
667,0.06,70.0,10.0,IPA
669,0.063,65.0,10.0,IPA
671,0.046,18.0,15.0,Amber
672,0.046,18.0,15.0,Amber
673,0.046,18.0,15.0,Amber
674,0.046,18.0,15.0,Amber
677,0.07200000000000001,100.0,10.0,IPA
678,0.066,30.0,22.0,Bock
681,0.048,9.0,4.0,Pilsner
682,0.064,66.0,10.0,IPA
683,0.064,95.0,10.0,IPA
684,0.055999999999999994,70.0,10.0,IPA
687,0.057999999999999996,40.0,45.0,Stout
688,0.057,42.0,12.0,Red Ale
689,0.052000000000000005,20.0,8.0,Fruit / Vegetable Beer
690,0.065,75.0,10.0,IPA
691,0.057,40.0,7.0,Pale Ale
692,0.057,47.0,7.0,Pale Ale
694,0.061,30.0,18.0,Brown Ale
695,0.059000000000000004,42.0,7.0,Pale Ale
696,0.046,30.0,12.0,Red Ale
698,0.04,8.0,8.0,Fruit / Vegetable Beer
702,0.062,65.0,10.0,IPA
704,0.052000000000000005,29.0,45.0,Stout
706,0.051,31.0,7.0,Pale Ale
707,0.053,20.0,4.0,Pilsner
708,0.051,32.0,12.0,Red Ale
709,0.043,18.0,4.0,Blonde Ale
710,0.079,18.0,8.0,Fruit / Vegetable Beer
712,0.05,40.0,7.0,Pale Ale
713,0.069,70.0,10.0,IPA
714,0.07,32.0,18.0,Brown Ale
715,0.06,30.0,12.0,Red Ale
716,0.051,20.0,8.0,Fruit / Vegetable Beer
718,0.051,20.0,8.0,Fruit / Vegetable Beer
719,0.045,21.0,7.0,Pale Ale
722,0.06,14.0,8.0,Fruit / Vegetable Beer
723,0.085,85.0,10.0,IPA
724,0.099,93.0,10.0,IPA
725,0.08,88.0,10.0,IPA
726,0.06,25.0,4.0,Blonde Ale
727,0.095,49.0,18.0,Brown Ale
728,0.066,44.0,7.0,Pale Ale
730,0.065,47.0,45.0,Stout
731,0.05,35.0,12.0,Red Ale
732,0.065,60.0,10.0,IPA
733,0.065,60.0,10.0,IPA
734,0.05,12.0,4.0,Blonde Ale
735,0.051,20.0,18.0,Brown Ale
736,0.06,24.0,12.0,Red Ale
737,0.05,12.0,3.0,Witbier
738,0.068,68.0,10.0,IPA
740,0.045,18.0,11.0,Lager
741,0.057,30.0,30.0,Porter
742,0.062,65.0,10.0,IPA
743,0.037000000000000005,34.0,30.0,Porter
744,0.037000000000000005,21.0,3.0,Witbier
745,0.037000000000000005,53.0,7.0,Pale Ale
746,0.07200000000000001,75.0,10.0,IPA
747,0.07200000000000001,75.0,10.0,IPA
748,0.042,22.0,4.0,Blonde Ale
749,0.052000000000000005,27.0,30.0,Porter
750,0.052000000000000005,23.0,12.0,Red Ale
751,0.054000000000000006,42.0,7.0,Pale Ale
752,0.053,11.0,8.0,Fruit / Vegetable Beer
753,0.053,30.0,18.0,Brown Ale
754,0.071,62.0,10.0,IPA
755,0.053,16.0,4.0,Blonde Ale
756,0.063,61.0,10.0,IPA
757,0.063,61.0,10.0,IPA
758,0.048,12.0,3.0,Witbier
759,0.05,24.0,18.0,Brown Ale
760,0.057,70.0,10.0,IPA
761,0.08,100.0,10.0,IPA
762,0.075,85.0,10.0,IPA
764,0.08,100.0,10.0,IPA
767,0.043,8.0,4.0,Weissbier
768,0.087,80.0,10.0,IPA
769,0.051,24.0,12.0,Red Ale
770,0.075,51.0,10.0,IPA
772,0.048,18.0,11.0,Lager
773,0.051,24.0,12.0,Red Ale
774,0.068,66.0,10.0,IPA
775,0.048,44.0,7.0,Pale Ale
776,0.092,75.0,10.0,IPA
777,0.075,85.0,10.0,IPA
778,0.068,75.0,10.0,IPA
779,0.052000000000000005,50.0,7.0,Pale Ale
780,0.067,75.0,12.0,Red Ale
783,0.057999999999999996,40.0,45.0,Stout
784,0.065,115.0,12.0,Red Ale
785,0.055999999999999994,28.0,4.0,Blonde Ale
786,0.06,49.0,11.0,ESB
787,0.055999999999999994,18.0,11.0,Lager
788,0.049,24.0,12.0,Märzen
793,0.052000000000000005,21.0,4.0,Blonde Ale
794,0.07,70.0,10.0,IPA
795,0.053,10.0,4.0,Blonde Ale
797,0.037000000000000005,10.0,11.0,Lager
798,0.052000000000000005,30.0,4.0,Pilsner
799,0.053,30.0,45.0,Stout
804,0.07,22.0,30.0,Porter
805,0.065,32.0,22.0,Bock
806,0.055,15.0,12.0,Märzen
807,0.085,86.0,10.0,IPA
808,0.085,86.0,10.0,IPA
810,0.065,65.0,10.0,IPA
812,0.048,15.0,18.0,Brown Ale
813,0.057,29.0,7.0,Pale Ale
814,0.045,40.0,10.0,IPA
815,0.065,70.0,10.0,IPA
816,0.05,29.0,11.0,Lager
817,0.055999999999999994,21.0,11.0,Lager
818,0.052000000000000005,18.0,12.0,Red Ale
819,0.05,29.0,11.0,Lager
820,0.052000000000000005,18.0,12.0,Red Ale
821,0.05,29.0,11.0,Lager
822,0.065,70.0,10.0,IPA
823,0.052000000000000005,18.0,12.0,Red Ale
824,0.065,70.0,10.0,IPA
825,0.052000000000000005,18.0,12.0,Red Ale
826,0.034,6.0,4.0,Weissbier
827,0.08800000000000001,85.0,10.0,IPA
828,0.08800000000000001,85.0,10.0,IPA
830,0.055999999999999994,30.0,4.0,Blonde Ale
831,0.052000000000000005,50.0,12.0,Red Ale
833,0.051,31.0,7.0,Pale Ale
834,0.07200000000000001,80.0,10.0,IPA
835,0.045,50.0,10.0,IPA
836,0.049,26.0,45.0,Stout
837,0.048,19.0,18.0,Brown Ale
839,0.06,25.0,30.0,Porter
840,0.055999999999999994,47.0,11.0,ESB
841,0.063,42.0,7.0,Pale Ale
842,0.061,66.0,10.0,IPA
843,0.051,7.0,8.0,Fruit / Vegetable Beer
844,0.067,70.0,10.0,IPA
845,0.054000000000000006,24.0,12.0,Red Ale
846,0.057999999999999996,27.0,45.0,Stout
847,0.067,70.0,10.0,IPA
848,0.08199999999999999,25.0,30.0,Porter
851,0.048,35.0,7.0,Pale Ale
854,0.054000000000000006,36.0,30.0,Porter
856,0.065,26.0,18.0,Brown Ale
858,0.05,45.0,7.0,Pale Ale
859,0.057,26.0,45.0,Stout
861,0.065,65.0,18.0,Brown Ale
863,0.049,35.0,10.0,IPA
864,0.065,65.0,7.0,Pale Ale
865,0.065,65.0,7.0,Pale Ale
867,0.065,65.0,7.0,Pale Ale
868,0.065,65.0,7.0,Pale Ale
869,0.065,65.0,7.0,Pale Ale
870,0.087,85.0,10.0,IPA
871,0.065,65.0,7.0,Pale Ale
872,0.065,65.0,7.0,Pale Ale
873,0.087,85.0,10.0,IPA
874,0.08,70.0,15.0,Strong Ale
875,0.09,60.0,10.0,IPA
876,0.087,85.0,10.0,IPA
877,0.099,98.0,45.0,Stout
879,0.099,100.0,10.0,IPA
881,0.087,85.0,10.0,IPA
882,0.065,65.0,7.0,Pale Ale
883,0.092,85.0,10.0,IPA
884,0.095,98.0,45.0,Stout
885,0.099,98.0,45.0,Stout
889,0.065,65.0,7.0,Pale Ale
